2 4
--> 0 3.55566856504
--> 1 3.55566856504
--> 2 4.07390853166
--> 3 7.344726303
--> 4 10.9989819212
--> 5 10.9989819212
--> 6 11.0125916052
--> 7 11.3712306689
--> 8 12.2400093889
--> 9 12.2400093889
         26904065 function calls (26903944 primitive calls) in 89.611 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
     1024    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 numerictypes.py:305(_add_aliases)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
        1    0.000    0.000    0.002    0.002 main.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {normalize}
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       15    0.000    0.000    0.000    0.000 sre_compile.py:256(_optimize_charset)
       53    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      269    0.000    0.000    0.000    0.000 sre_parse.py:212(get)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
       26    0.000    0.000    0.000    0.000 numerictypes.py:233(bitname)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
       72    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
       11    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
      145    0.000    0.000    0.000    0.000 sre_parse.py:141(__getitem__)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
       19    0.000    0.000    0.000    0.000 nosetester.py:181(__init__)
       13    0.000    0.000    0.003    0.000 sre_compile.py:567(compile)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
       43    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      271    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
       13    0.000    0.000    0.000    0.000 sre_compile.py:433(_compile_info)
       13    0.000    0.000    0.002    0.000 sre_parse.py:706(parse)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
      257    0.000    0.000    0.000    0.000 hashlib.py:160(<genexpr>)
       40    0.000    0.000    0.000    0.000 _inspect.py:120(getargspec)
       23    0.000    0.000    0.001    0.000 core.py:6068(getdoc)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.014    0.014 model.py:124(__init__)
      257    0.000    0.000    0.000    0.000 hashlib.py:161(<genexpr>)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2586(MaskedArray)
       27    0.000    0.000    0.000    0.000 core.py:834(__init__)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:289(_add_types)
        2    0.000    0.000    0.001    0.000 util.py:1(<module>)
    19/13    0.000    0.000    0.002    0.000 sre_parse.py:317(_parse_sub)
        1    0.000    0.000    0.000    0.000 numerictypes.py:346(_add_integer_aliases)
       19    0.000    0.000    0.000    0.000 posixpath.py:120(dirname)
       30    0.000    0.000    0.000    0.000 {posix.putenv}
      137    0.000    0.000    0.000    0.000 sre_parse.py:149(append)
       30    0.000    0.000    0.000    0.000 numerictypes.py:451(_add_array_type)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
       15    0.000    0.000    0.000    0.000 sre_compile.py:228(_compile_charset)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:788(_construct_lookups)
       21    0.000    0.000    0.000    0.000 numerictypes.py:220(_evalname)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
       15    0.000    0.000    0.001    0.000 abc.py:105(register)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
       21    0.000    0.000    0.000    0.000 sre_compile.py:428(_simple)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
       18    0.000    0.000    0.000    0.000 core.py:913(__init__)
      114    0.000    0.000    0.000    0.000 sre_parse.py:206(match)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       16    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
       13    0.000    0.000    0.001    0.000 sre_compile.py:552(_code)
      154    0.000    0.000    0.000    0.000 {_sre.getlower}
       85    0.000    0.000    0.000    0.000 sre_parse.py:137(__len__)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       35    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        4    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:459(_set_array_types)
      347    0.000    0.000    0.000    0.000 {globals}
      116    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        5    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
        5    0.000    0.000    0.000    0.000 {map}
        4    0.000    0.000    0.001    0.000 warnings.py:49(filterwarnings)
       15    0.000    0.000    0.003    0.000 re.py:192(compile)
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
        1    0.000    0.000    0.000    0.000 HSIC.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
      125    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
        1    0.000    0.000    0.000    0.000 os.py:506(copy)
       40    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:436(_construct_char_code_lookup)
       23    0.000    0.000    0.001    0.000 core.py:6063(__init__)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       31    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 random.py:100(seed)
       13    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       26    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       72    0.000    0.000    0.000    0.000 numerictypes.py:131(english_lower)
        1    0.000    0.000    0.000    0.000 os.py:499(clear)
       49    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
       13    0.000    0.000    0.000    0.000 sre_parse.py:189(__init__)
       20    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
       46    0.000    0.000    0.000    0.000 collections.py:337(<genexpr>)
